wrf_date;data;stn_id;temp;rain;windU;windV;pressure
21.12.2023;21.12.2023 06:00;35796;-3.7;0;-0.3;0.6;3691.1
21.12.2023;21.12.2023 09:00;35796;-1.8;0;-0.8;-0.1;3518.7
21.12.2023;21.12.2023 12:00;35796;-3.5;0;-2;-0.6;3543.7
21.12.2023;21.12.2023 15:00;35796;-4.7;0;-2.2;0.2;3550.1
21.12.2023;21.12.2023 18:00;35796;-5.4;0;-2.2;-0.8;3430.6
21.12.2023;21.12.2023 21:00;35796;-5.8;0;-2.4;-1.8;3291.8
21.12.2023;22.12.2023 00:00;35796;-5.7;0;-3.3;-2.3;3111.1
21.12.2023;22.12.2023 03:00;35796;-5.4;0;-4;-3.1;2948
21.12.2023;22.12.2023 06:00;35796;-2.1;0;-4.4;-3.5;2796.9
21.12.2023;22.12.2023 09:00;35796;-0.6;0;-4.2;-4;2488.2
21.12.2023;22.12.2023 12:00;35796;-2;0;-3.9;-4;2367.5
21.12.2023;22.12.2023 15:00;35796;-3.1;0;-3.8;-3.5;2263.9
21.12.2023;22.12.2023 18:00;35796;-3.8;0;-3.2;-3.5;2070.4
21.12.2023;22.12.2023 21:00;35796;-4.6;0;-2.2;-1.3;1961.5
21.12.2023;23.12.2023 00:00;35796;-5.3;0;-2.1;-1.5;1836.7
21.12.2023;23.12.2023 03:00;35796;-5.8;0;-1.6;-1.1;1833.4
21.12.2023;23.12.2023 06:00;35796;-2.6;0;-1.6;-0.6;1782.3
21.12.2023;23.12.2023 09:00;35796;-0.9;0;-1.1;-0.3;1675.7
21.12.2023;23.12.2023 12:00;35796;-1.8;0;-0.9;0.2;1759.5
21.12.2023;23.12.2023 15:00;35796;-2.7;0;-0.2;0.1;1838.3
21.12.2023;23.12.2023 18:00;35796;-3.3;0;-1.5;-1;1807.2
21.12.2023;23.12.2023 21:00;35796;-5.1;0;-1.2;-1.3;1824.2
21.12.2023;24.12.2023 00:00;35796;-6.1;0;-0.8;-1;1833.8
21.12.2023;24.12.2023 03:00;35796;-6.4;0;-1.4;-1.3;1817.3
21.12.2023;24.12.2023 06:00;35796;-2.1;0;-1.2;-1.3;1807.1
21.12.2023;24.12.2023 09:00;35796;0.4;0;-1.4;-1.5;1673.2
21.12.2023;24.12.2023 12:00;35796;-1.4;0;-2.9;-0.6;1700.2
21.12.2023;24.12.2023 15:00;35796;-1.8;0;-2.2;-0.2;1768.6
21.12.2023;24.12.2023 18:00;35796;-1.9;0;-2.8;1.1;1756.3
21.12.2023;24.12.2023 21:00;35796;-1.8;0;-1.6;-0.5;1880.5
21.12.2023;25.12.2023 00:00;35796;-2.6;0;-3;1.7;1824.5
21.12.2023;25.12.2023 03:00;35796;-1.9;0;-4.1;2.6;1795.5
21.12.2023;25.12.2023 06:00;35796;0.9;0;-2;2.1;1803
21.12.2023;25.12.2023 09:00;35796;1.5;0;-2.5;0.8;1754.1
